,AltAnnotationQualifiedName,Annotation,AnnotationConstantRest,AnnotationMethodOrConstantRest,AnnotationMethodRest,AnnotationTypeBody,AnnotationTypeDeclaration,AnnotationTypeElementDeclaration,AnnotationTypeElementRest,Arguments,ArrayCreatorRest,ArrayInitializer,Block,BlockStatement,CatchClause,CatchType,ClassBody,ClassBodyDeclaration,ClassCreatorRest,ClassDeclaration,ClassOrInterfaceModifier,ClassOrInterfaceType,ClassType,CompactConstructorDeclaration,CompilationUnit,ConstDeclaration,ConstantDeclarator,ConstructorDeclaration,CreatedName,Creator,DefaultValue,ElementValue,ElementValueArrayInitializer,ElementValuePair,ElementValuePairs,EnhancedForControl,EnumBodyDeclarations,EnumConstant,EnumConstants,EnumDeclaration,EveryRule,ExplicitGenericInvocation,ExplicitGenericInvocationSuffix,Expression,ExpressionList,FieldDeclaration,FinallyBlock,FloatLiteral,ForControl,ForInit,FormalParameter,FormalParameterList,FormalParameters,GenericConstructorDeclaration,GenericInterfaceMethodDeclaration,GenericMethodDeclaration,GuardedPattern,Identifier,ImportDeclaration,InnerCreator,IntegerLiteral,InterfaceBody,InterfaceBodyDeclaration,InterfaceCommonBodyDeclaration,InterfaceDeclaration,InterfaceMemberDeclaration,InterfaceMethodDeclaration,InterfaceMethodModifier,LambdaBody,LambdaExpression,LambdaLVTIList,LambdaLVTIParameter,LambdaParameters,LastFormalParameter,Literal,LocalTypeDeclaration,LocalVariableDeclaration,MemberDeclaration,MethodBody,MethodCall,MethodDeclaration,Modifier,ModuleBody,ModuleDeclaration,ModuleDirective,NonWildcardTypeArguments,NonWildcardTypeArgumentsOrDiamond,PackageDeclaration,ParExpression,Pattern,Primary,PrimitiveType,QualifiedName,QualifiedNameList,ReceiverParameter,RecordBody,RecordComponent,RecordComponentList,RecordDeclaration,RecordHeader,RequiresModifier,Resource,ResourceSpecification,Resources,Statement,SuperSuffix,SwitchBlockStatementGroup,SwitchExpression,SwitchLabel,SwitchLabeledRule,SwitchRuleOutcome,TypeArgument,TypeArguments,TypeArgumentsOrDiamond,TypeBound,TypeDeclaration,TypeIdentifier,TypeList,TypeParameter,TypeParameters,TypeType,TypeTypeOrVoid,VariableDeclarator,VariableDeclaratorId,VariableDeclarators,VariableInitializer,VariableModifier
0,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
1,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
2,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
3,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
4,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
5,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
6,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
7,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
8,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
9,0,10,0,0,0,0,0,0,0,2,0,0,5,15,0,0,1,9,2,1,15,6,0,0,1,0,0,0,2,2,0,23,2,6,2,1,0,0,0,0,489,0,0,70,10,5,0,0,1,0,0,0,4,0,0,0,0,96,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,4,13,4,10,0,0,0,0,0,1,0,0,48,2,18,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,8,4,6,7,6,1,0
