,iterations
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1088
38,0
39,0
40,0
41,0
42,825
43,0
44,1219
45,0
46,829
47,0
48,0
49,0
50,0
51,1
52,0
53,3
54,0
55,0
56,0
57,0
58,0
59,0
60,101
61,1771
62,0
63,0
64,1862
65,107
66,1734
67,0
68,0
69,44
70,191
71,127
72,0
73,127
74,0
75,191
76,127
77,127
78,127
79,0
80,41
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,24
91,24
92,24
93,36
94,24
95,36
96,24
97,24
98,24
99,36
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,130
121,124
122,0
123,127
124,0
125,117
126,1448
127,0
128,0
129,114
130,0
131,0
132,10
133,10
134,2
135,0
136,0
137,10
138,0
139,8
140,1
141,30
142,621
143,2
144,7
145,1
146,1
147,1
148,15
149,1
150,108
151,84
152,53
153,71
154,23
155,1704
156,87
157,48
158,71
159,0
160,5
161,0
162,30
163,4
164,0
165,0
166,1876
167,24
168,0
169,4
170,5
171,17
172,4
173,4
174,47
175,4
176,0
177,13
178,61
179,5
180,2
181,69
182,11
183,4
184,197
185,32
186,2
187,17
188,64
189,2
190,185
191,1
192,16
193,123
194,2
195,602
196,450
197,217
198,431
199,6
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,2
212,0
213,3
214,1
215,4
216,1
217,0
218,0
219,0
220,0
221,36
222,0
223,49
224,39
225,6
226,0
227,0
228,0
229,39
230,4
231,119
232,1148
233,5
234,2
235,16
236,136
237,6
238,25
239,14
240,198
241,77
242,50
243,33
244,2149
245,146
246,288
247,267
248,0
249,29
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,271
259,0
260,7
261,0
262,144
263,14
264,66
265,10
266,223
267,1035
268,38
269,6
270,4
271,4
272,5
273,4
274,11
275,4
276,14
277,59
278,22
279,51
280,25
281,8
282,4
283,6
284,8
285,333
286,5
287,4
288,21
289,5
290,19
291,54
292,60
293,4
294,37
295,4
296,13
297,28
298,43
299,20
300,4
301,8
302,4
303,36
304,22
305,25
306,5
307,26
308,218
309,4
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,45
331,42
332,34
333,57
334,21
335,43
336,46
337,37
338,40
339,32
340,32
341,35
342,34
343,37
344,39
345,38
346,29
347,33
348,28
349,28
350,37
351,34
352,44
353,34
354,36
355,35
356,34
357,34
358,33
359,33
360,7
361,3
362,3
363,156
364,3
365,3
366,214
367,144
368,3
369,202
370,23
371,7
372,1
373,7
374,25
375,1
376,2023
377,7
378,4
379,146
380,10
381,2
382,34
383,1
384,6
385,2
386,1
387,1
388,2
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,79
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,181
411,4
412,4
413,1919
414,5
415,15
416,5
417,21
418,4
419,8
420,1509
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,35
432,2
433,0
434,0
435,48
436,0
437,0
438,0
439,307
440,0
441,0
442,0
443,0
444,73
445,0
446,0
447,47
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,212
461,62
462,199
463,136
464,321
465,8
466,192
467,103
468,60
469,136
470,0
471,1366
472,0
473,0
474,2437
475,0
476,158
477,0
478,0
479,0
480,1
481,22
482,19
483,1
484,9
485,205
486,169
487,22
488,1
489,854
490,743
491,486
492,192
493,698
494,294
495,189
496,340
497,436
498,197
499,1
500,340
501,2
502,533
503,453
504,285
505,10
506,11
507,326
508,423
509,10
510,1
511,1
512,1
513,1
514,2
515,1
516,1
517,1
518,1
519,1
520,307
521,509
522,318
523,3
524,3
525,3
526,3
527,578
528,307
