,run
0,steady state
1,steady state
2,steady state
3,steady state
4,steady state
5,steady state
6,inconsistent
7,inconsistent
8,inconsistent
9,inconsistent
10,inconsistent
11,inconsistent
12,inconsistent
13,inconsistent
14,steady state
15,inconsistent
16,inconsistent
17,inconsistent
18,inconsistent
19,inconsistent
20,steady state
21,inconsistent
22,inconsistent
23,steady state
24,steady state
25,inconsistent
26,steady state
27,steady state
28,inconsistent
29,inconsistent
30,steady state
31,steady state
32,steady state
33,steady state
34,steady state
35,steady state
36,steady state
37,steady state
38,steady state
39,steady state
40,steady state
41,inconsistent
42,inconsistent
43,steady state
44,steady state
45,steady state
46,steady state
47,steady state
48,steady state
49,steady state
50,steady state
51,steady state
52,steady state
53,steady state
54,steady state
55,steady state
56,steady state
57,steady state
58,steady state
59,steady state
60,steady state
61,inconsistent
62,inconsistent
63,inconsistent
64,steady state
65,inconsistent
66,steady state
67,inconsistent
68,inconsistent
69,inconsistent
70,steady state
71,steady state
72,inconsistent
73,steady state
74,inconsistent
75,steady state
76,inconsistent
77,steady state
78,inconsistent
79,inconsistent
80,steady state
81,inconsistent
82,steady state
83,steady state
84,steady state
85,inconsistent
86,steady state
87,steady state
88,steady state
89,steady state
90,steady state
91,steady state
92,steady state
93,inconsistent
94,steady state
95,inconsistent
96,inconsistent
97,steady state
98,steady state
99,steady state
100,steady state
101,inconsistent
102,steady state
103,inconsistent
104,steady state
105,steady state
106,steady state
107,steady state
108,inconsistent
109,inconsistent
110,steady state
111,inconsistent
112,steady state
113,inconsistent
114,inconsistent
115,inconsistent
116,steady state
117,inconsistent
118,inconsistent
119,inconsistent
120,steady state
121,steady state
122,steady state
123,steady state
124,steady state
125,steady state
126,steady state
127,steady state
128,steady state
129,inconsistent
130,steady state
131,inconsistent
132,inconsistent
133,steady state
134,inconsistent
135,steady state
136,inconsistent
137,inconsistent
138,inconsistent
139,inconsistent
140,inconsistent
141,steady state
142,steady state
143,steady state
144,steady state
145,inconsistent
146,steady state
147,steady state
148,inconsistent
149,inconsistent
150,steady state
151,steady state
152,steady state
153,steady state
154,steady state
